Geneid,HISAT2 on data 35: aligned reads (BAM),Length,RPKM,TPM
100287102,1,1652,0.0028896860766069897,0.002870001279437609
653635,176,1769,0.47494743139945467,0.4717120474839139
102466751,0,68,0.0,0.0
100302278,0,138,0.0,0.0
645520,1,1130,0.004224567609340484,0.004195789481089319
79501,0,918,0.0,0.0
729737,98,5474,0.08546375905340979,0.08488157236679414
102725121,0,1173,0.0,0.0
102723897,386,2120,0.8691848584161,0.8632638942743107
102465909,0,68,0.0,0.0
729759,0,939,0.0,0.0
100132287,0,4370,0.0,0.0
105378947,2,2343,0.004074913699150445,0.004047155026573564
101928626,5,798,0.029910785705230238,0.029707030787161214
102465432,912,89,48.91764489305538,48.58441356889223
81399,1,939,0.005083877953732425,0.005049246127402481
100133331,9,4273,0.01005472796325596,0.009986234266950238
100288069,63,1371,0.21936321525087457,0.21786889362417838
400728,0,1944,0.0,0.0
79854,590,1317,2.138587110969856,2.1240188663950255
643837,1689,9233,0.8732679521454529,0.8673191736079974
284593,60,1706,0.16789313242279297,0.1667494295532566
100130417,0,1506,0.0,0.0
148398,0,2554,0.0,0.0
26155,183,2800,0.31199940569125667,0.30987403814087866
339451,2,3450,0.0027673979122056504,0.0027485461528295244
84069,16,2560,0.02983600874096717,0.029632763210193314
84808,0,3904,0.0,0.0
57801,1365,2153,3.026560292163135,3.0059430957297817
9636,18643,667,133.42913606185328,132.52020498414007
375790,417,8236,0.24170210092245378,0.24005560483051208
105369174,3,1604,0.008928481418743292,0.008867659813524182
105378948,6,1760,0.01627418658598209,0.016163325387378167
401934,0,1122,0.0,0.0
54991,745,6973,0.510031871780193,0.5065574895532831
254099,0,1620,0.0,0.0
406984,0,95,0.0,0.0
406983,0,90,0.0,0.0
554210,0,83,0.0,0.0
254173,46,4113,0.053389988897038256,0.05302629156990585
8784,1326,1200,5.2750063454029945,5.239072535562177
7293,2415,2339,4.928872927537286,4.8952970091572015
51150,2623,3935,3.182103214335222,3.160426445757034
126792,195,2793,0.3332916121439941,0.3310212001997964
388581,46,1108,0.19818865012050393,0.19683857150453318
118424,8040,3565,10.766070587483918,10.692731162298086
6339,76,5477,0.06624171376486411,0.06579046935109562
116983,437,6389,0.32651960105938715,0.32429532065373556
102465434,0,61,0.0,0.0
126789,959,1371,3.33919560992998,3.316448714056938
54973,2764,2629,5.018895589808033,4.9847064290893455
102465435,0,65,0.0,0.0
